address,eligible,status_text,latency_sec,checked_at,lat,lon,method
205 Faraday Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.237,2025-08-12T04:34:47.778045+00:00,-37.7990994,144.9676917,dom
118 Park Street Melbourne VIC,False,,33.434,2025-08-12T04:34:48.237217+00:00,-37.8335060,144.9669130,dom
329 Lygon Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.210,2025-08-12T04:34:48.446033+00:00,-37.7976471,144.9672504,dom
211 Gertrude Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.263,2025-08-12T04:34:56.500473+00:00,-37.8060713,144.9816516,dom
127 Brunswick Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.196,2025-08-12T04:34:56.641991+00:00,-37.8037960,144.9773668,dom
129 Elgin Street Melbourne VIC,False,,33.381,2025-08-12T04:34:56.689409+00:00,-37.7976375,144.9702613,dom
253 Flinders Lane Melbourne VIC,False,,33.491,2025-08-12T04:35:21.269749+00:00,-37.8169458,144.9659025,dom
411 George Street Melbourne VIC,False,,33.535,2025-08-12T04:35:30.036158+00:00,-37.7972297,144.9819606,dom
206-210 Brunswick Street Melbourne VIC,False,,33.517,2025-08-12T04:35:30.159009+00:00,-37.8012423,144.9781729,dom
244 Smith Street Melbourne VIC,False,,33.470,2025-08-12T04:35:30.159165+00:00,-37.8017259,144.9839273,dom
376 Brunswick Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.250,2025-08-12T04:35:38.409251+00:00,-37.7960561,144.9790327,dom
128 Moor Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.250,2025-08-12T04:35:38.409361+00:00,-37.8018889,144.9796910,dom
144 Fitzroy Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.240,2025-08-12T04:35:46.650401+00:00,-37.8043751,144.9764600,dom
345 Clarendon Street Melbourne VIC,False,,33.538,2025-08-12T04:35:54.808533+00:00,-37.8353130,144.9619190,dom
343 Clarendon Street Melbourne VIC,False,,33.563,2025-08-12T04:36:03.600217+00:00,-37.8350109,144.9617178,dom
414 Nicholson Street Melbourne VIC,False,,33.490,2025-08-12T04:36:11.899536+00:00,-37.7901129,144.9765303,dom
380 Brunswick Street Melbourne VIC,False,,33.433,2025-08-12T04:36:20.083654+00:00,-37.7958574,144.9790602,dom
220 Lygon Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.278,2025-08-12T04:36:20.178772+00:00,-37.8019080,144.9669884,dom
1-9 Federation Wharf Melbourne VIC,False,,33.502,2025-08-12T04:36:28.311210+00:00,-37.8187059,144.9686342,dom
75 Flemington Road Melbourne VIC,False,,33.517,2025-08-12T04:36:37.117022+00:00,-37.7988560,144.9535250,dom
88 Rathdowne Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.221,2025-08-12T04:36:45.338102+00:00,-37.7979111,144.9706637,dom
1 Smith Street Melbourne VIC,False,,34.493,2025-08-12T04:36:54.672486+00:00,-37.8085185,144.9824760,dom
59 Wellington Street Melbourne VIC,False,,34.623,2025-08-12T04:36:54.707584+00:00,-37.8072430,144.9857861,dom
54 Brunswick Street Melbourne VIC,False,,33.566,2025-08-12T04:37:01.878725+00:00,-37.8059010,144.9773690,dom
375 Clarendon Street Melbourne VIC,False,,34.259,2025-08-12T04:37:19.597393+00:00,-37.8361936,144.9622636,dom
135-137 Bank Street Melbourne VIC,False,,33.506,2025-08-12T04:37:28.213736+00:00,-37.8336617,144.9634651,dom
102-104 Park Street Melbourne VIC,False,,33.664,2025-08-12T04:37:28.337753+00:00,-37.8333290,144.9673099,dom
307 Clarendon Street Melbourne VIC,False,,33.692,2025-08-12T04:37:35.571119+00:00,-37.8338816,144.9612036,dom
277 Clarendon Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.264,2025-08-12T04:37:36.478590+00:00,-37.8330662,144.9609809,dom
407 St Kilda Road Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.232,2025-08-12T04:37:43.803105+00:00,-37.8362350,144.9761450,dom
338-340 Clarendon Street Melbourne VIC,False,,33.431,2025-08-12T04:37:53.029349+00:00,-37.8345872,144.9610816,dom
377 Gore Street Melbourne VIC,False,,33.474,2025-08-12T04:38:01.811466+00:00,-37.7977485,144.9829523,dom
5 Riverside Quay Melbourne VIC,False,,33.506,2025-08-12T04:38:09.985232+00:00,-37.8214816,144.9644575,dom
15-17 Johnston Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.241,2025-08-12T04:38:10.052789+00:00,-37.7979061,144.9756259,dom
115 Cecil Street Melbourne VIC,False,,33.432,2025-08-12T04:38:17.235502+00:00,-37.8316115,144.9573526,dom
243-245 Gertrude Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.226,2025-08-12T04:38:18.211902+00:00,-37.8062207,144.9825807,dom
114 Smith Street Melbourne VIC,False,,33.479,2025-08-12T04:38:26.508610+00:00,-37.8048510,144.9834420,dom
298-300 Brunswick Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.242,2025-08-12T04:38:34.752352+00:00,-37.7982004,144.9786371,dom
281 Smith Street Melbourne VIC,False,,33.473,2025-08-12T04:38:43.525492+00:00,-37.8005067,144.9838413,dom
272 Smith Street Melbourne VIC,False,,33.485,2025-08-12T04:38:50.720994+00:00,-37.8011431,144.9840159,dom
215 Smith Street Melbourne VIC,False,,33.498,2025-08-12T04:38:51.709770+00:00,-37.8026801,144.9834581,dom
222 Brunswick Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.239,2025-08-12T04:38:58.960301+00:00,-37.8009521,144.9782174,dom
198 Berkeley Street Melbourne VIC,False,,8.714,2025-08-12T04:39:07.675404+00:00,-37.8014283,144.9587685,dom
328 Brunswick Street Melbourne VIC,False,,33.458,2025-08-12T04:39:08.212266+00:00,-37.7973814,144.9787918,dom
114 Berkeley Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.216,2025-08-12T04:39:15.893558+00:00,-37.8028349,144.9590354,dom
286 Smith Street Melbourne VIC,False,,33.448,2025-08-12T04:39:16.976956+00:00,-37.8005946,144.9841436,dom
185 Pelham Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.215,2025-08-12T04:39:24.110040+00:00,-37.8022481,144.9601666,dom
167 Lygon Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.242,2025-08-12T04:39:25.219454+00:00,-37.8017966,144.9665445,dom
33 Spencer Street Melbourne VIC,False,,33.524,2025-08-12T04:39:25.233178+00:00,-37.8200975,144.9542549,dom
192 Station Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.252,2025-08-12T04:39:33.484901+00:00,-37.8328036,144.9456317,dom
127 Leicester Street Melbourne VIC,False,,33.480,2025-08-12T04:39:41.692091+00:00,-37.8029290,144.9602863,dom
144 Cecil Street Melbourne VIC,False,,33.704,2025-08-12T04:39:57.814203+00:00,-37.8328055,144.9574554,dom
315 Coventry Street Melbourne VIC,False,,33.625,2025-08-12T04:39:58.844329+00:00,-37.8329360,144.9570071,dom
68 Cecil Street Melbourne VIC,False,,33.583,2025-08-12T04:40:07.070553+00:00,-37.8301951,144.9562392,dom
1 Riverside Quay Melbourne VIC,False,,33.584,2025-08-12T04:40:15.277113+00:00,-37.8217545,144.9639586,dom
2 Lygon Street Melbourne VIC,False,,33.554,2025-08-12T04:40:31.369768+00:00,-37.8067341,144.9660401,dom
7 Grattan Street Melbourne VIC,False,,33.543,2025-08-12T04:40:32.387489+00:00,-37.8010788,144.9692525,dom
23 Blackwood Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.222,2025-08-12T04:40:40.609795+00:00,-37.8009470,144.9553230,dom
28 Blackwood Street Melbourne VIC,False,,33.539,2025-08-12T04:40:40.609904+00:00,-37.8012925,144.9552944,dom
22 Blackwood Street Melbourne VIC,False,,33.515,2025-08-12T04:40:48.793214+00:00,-37.8014438,144.9551034,dom
120 Capel Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.215,2025-08-12T04:40:48.825572+00:00,-37.8051944,144.9554928,dom
12 Blackwood Street Melbourne VIC,False,,33.458,2025-08-12T04:41:04.827713+00:00,-37.8016427,144.9548520,dom
121 Johnston Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.263,2025-08-12T04:41:13.091797+00:00,-37.7982584,144.9789257,dom
7 Murphy Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.241,2025-08-12T04:41:21.334365+00:00,-37.7976007,144.9514060,dom
1-11 Bedford Street Melbourne VIC,False,,33.576,2025-08-12T04:41:22.369749+00:00,-37.8024590,144.9553500,dom
51 Gipps Street Melbourne VIC,False,,33.560,2025-08-12T04:41:22.385200+00:00,-37.8047536,144.9886343,dom
5 Murphy Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.273,2025-08-12T04:41:29.608883+00:00,-37.7976791,144.9512929,dom
1 Murphy Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.263,2025-08-12T04:41:30.633072+00:00,-37.7977808,144.9511727,dom
2 Chapman Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.256,2025-08-12T04:41:30.641396+00:00,-37.7979992,144.9509764,dom
2A Chapman Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.307,2025-08-12T04:41:37.916679+00:00,-37.7979700,144.9509398,dom
10-20 Courtney Street Melbourne VIC,False,,57.768,2025-08-12T04:41:38.378293+00:00,-37.8025061,144.9550047,dom
118 Flemington Road Melbourne VIC,False,error:ElementNotInteractableException,0.021,2025-08-12T04:41:38.399344+00:00,-37.7970894,144.9515107,error
123 Flemington Road Melbourne VIC,False,error:ElementNotInteractableException,0.014,2025-08-12T04:41:38.413355+00:00,-37.7968791,144.9512618,error
"220,222,224 Errol Street Melbourne VIC",False,error:ElementNotInteractableException,0.013,2025-08-12T04:41:38.426448+00:00,-37.7978222,144.9508015,error
"226,228 Errol Street Melbourne VIC",False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.438198+00:00,-37.7977372,144.9508211,error
"242,244 Errol Street Melbourne VIC",False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.450175+00:00,-37.7973727,144.9509093,error
"250,252 Errol Street Melbourne VIC",False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.461930+00:00,-37.7971829,144.9509496,error
1 Chapman Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.473924+00:00,-37.7980035,144.9503136,error
11 Chapman Street Melbourne VIC,False,error:ElementNotInteractableException,0.013,2025-08-12T04:41:38.486695+00:00,-37.7977690,144.9500242,error
8 Whiteman Street Melbourne VIC,False,error:ElementNotInteractableException,0.011,2025-08-12T04:41:38.497879+00:00,-37.8242677,144.9577541,error
159 Domain Road Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.509776+00:00,-37.8341478,144.9815358,error
169 Domain Road Melbourne VIC,False,error:ElementNotInteractableException,0.011,2025-08-12T04:41:38.520813+00:00,-37.8341668,144.9816512,error
123 Park Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.532420+00:00,-37.8342833,144.9823458,error
3 Toorak Road Melbourne VIC,False,error:ElementNotInteractableException,0.013,2025-08-12T04:41:38.545315+00:00,-37.8382088,144.9867145,error
9 Toorak Road Melbourne VIC,False,error:ElementNotInteractableException,0.011,2025-08-12T04:41:38.556726+00:00,-37.8382359,144.9868690,error
69 Victoria Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.568716+00:00,-37.7988255,144.9771439,error
63 Nicholson Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.580415+00:00,-37.7995936,144.9744080,error
260 Clarendon Street Melbourne VIC,False,error:ElementNotInteractableException,0.014,2025-08-12T04:41:38.594550+00:00,-37.8324480,144.9601330,error
209 Clarendon Street Melbourne VIC,False,error:ElementNotInteractableException,0.015,2025-08-12T04:41:38.609657+00:00,-37.8309126,144.9598544,error
3 Hardwicke Street Melbourne VIC,False,error:ElementNotInteractableException,0.014,2025-08-12T04:41:38.623442+00:00,-37.7982096,144.9468714,error
252 Brunswick Street Melbourne VIC,False,error:ElementNotInteractableException,0.016,2025-08-12T04:41:38.639547+00:00,-37.7998890,144.9783730,error
322 City Road Melbourne VIC,False,error:ElementNotInteractableException,0.014,2025-08-12T04:41:38.653816+00:00,-37.8276047,144.9578222,error
120 Montague Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.666069+00:00,-37.8312032,144.9503971,error
141 Johnston Street Melbourne VIC,False,error:ElementNotInteractableException,0.013,2025-08-12T04:41:38.679245+00:00,-37.7983052,144.9794393,error
81 Flemington Road Melbourne VIC,False,error:ElementNotInteractableException,0.013,2025-08-12T04:41:38.692385+00:00,-37.7987231,144.9535288,error
103 Flemington Road Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.704132+00:00,-37.7982145,144.9529108,error
18 Mary Street Melbourne VIC,False,error:ElementNotInteractableException,0.013,2025-08-12T04:41:38.716742+00:00,-37.7992218,144.9521913,error
34 Molesworth Street Melbourne VIC,False,error:ElementNotInteractableException,0.013,2025-08-12T04:41:38.729435+00:00,-37.7977874,144.9485838,error
40 Molesworth Street Melbourne VIC,False,error:ElementNotInteractableException,0.013,2025-08-12T04:41:38.742086+00:00,-37.7977091,144.9484939,error
42 Molesworth Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.753754+00:00,-37.7976382,144.9483950,error
52 Molesworth Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.765390+00:00,-37.7974754,144.9482061,error
54 Molesworth Street Melbourne VIC,False,error:ElementNotInteractableException,0.013,2025-08-12T04:41:38.778267+00:00,-37.7973903,144.9481076,error
58 Molesworth Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.789846+00:00,-37.7972719,144.9479572,error
62 Molesworth Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.802307+00:00,-37.7971905,144.9478542,error
84 Molesworth Street Melbourne VIC,False,error:ElementNotInteractableException,0.011,2025-08-12T04:41:38.813774+00:00,-37.7968163,144.9473805,error
86 Molesworth Street Melbourne VIC,False,error:ElementNotInteractableException,0.011,2025-08-12T04:41:38.825319+00:00,-37.7967497,144.9473135,error
96 Molesworth Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.837081+00:00,-37.7965273,144.9470357,error
8 Chapman Street Melbourne VIC,True,Great! Your address is eligible for 5G Home Internet.,8.212,2025-08-12T04:41:38.844684+00:00,-37.7978724,144.9507899,dom
"18,18A Molesworth Street Melbourne VIC",False,error:ElementNotInteractableException,0.011,2025-08-12T04:41:38.848474+00:00,-37.7981147,144.9490022,error
32 Molesworth Street Melbourne VIC,False,error:ElementNotInteractableException,0.013,2025-08-12T04:41:38.861827+00:00,-37.7978651,144.9486913,error
13 Chapman Street Melbourne VIC,False,error:ElementNotInteractableException,0.014,2025-08-12T04:41:38.876068+00:00,-37.7975703,144.9497339,error
117 Chapman Street Melbourne VIC,False,error:ElementNotInteractableException,0.018,2025-08-12T04:41:38.894388+00:00,-37.7953932,144.9470388,error
432 Abbotsford Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.907072+00:00,-37.7962725,144.9468718,error
440 Abbotsford Street Melbourne VIC,False,error:ElementNotInteractableException,0.013,2025-08-12T04:41:38.919751+00:00,-37.7960986,144.9469012,error
442 Abbotsford Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.931802+00:00,-37.7960407,144.9469094,error
444-446 Abbotsford Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.943584+00:00,-37.7959621,144.9469207,error
448 Abbotsford Street Melbourne VIC,False,error:ElementNotInteractableException,0.011,2025-08-12T04:41:38.955130+00:00,-37.7958979,144.9469376,error
460 Abbotsford Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.966735+00:00,-37.7956344,144.9469844,error
433 Abbotsford Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.978684+00:00,-37.7961662,144.9464739,error
469 Abbotsford Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:38.990858+00:00,-37.7952356,144.9466296,error
483 Abbotsford Street Melbourne VIC,False,error:ElementNotInteractableException,0.013,2025-08-12T04:41:39.004231+00:00,-37.7949133,144.9467104,error
525 Abbotsford Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:39.015976+00:00,-37.7940542,144.9468498,error
393 Abbotsford Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:39.028253+00:00,-37.7974211,144.9463007,error
423 Abbotsford Street Melbourne VIC,False,error:ElementNotInteractableException,0.035,2025-08-12T04:41:39.063246+00:00,-37.7966412,144.9464638,error
190 Park Street Melbourne VIC,False,error:ElementNotInteractableException,0.014,2025-08-12T04:41:39.077065+00:00,-37.8344510,144.9635970,error
39 Melrose Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:39.089375+00:00,-37.7947432,144.9415880,error
422 George Street Melbourne VIC,False,error:ElementNotInteractableException,0.013,2025-08-12T04:41:39.102323+00:00,-37.7969010,144.9823560,error
165 Johnston Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:39.114083+00:00,-37.7982430,144.9804990,error
247 Brunswick Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:39.126300+00:00,-37.7998880,144.9780260,error
120 Johnston Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:39.138270+00:00,-37.7984914,144.9789451,error
231 Brunswick Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:39.150022+00:00,-37.8004590,144.9779130,error
144 Nicholson Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:39.162259+00:00,-37.8011460,144.9745920,error
293 Brunswick Street Melbourne VIC,False,error:ElementNotInteractableException,0.011,2025-08-12T04:41:39.173782+00:00,-37.7985491,144.9782874,error
347 Brunswick Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:39.185531+00:00,-37.7968516,144.9785347,error
19 Park Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:39.197269+00:00,-37.8330238,144.9698810,error
211 Flinders Street Melbourne VIC,False,error:ElementNotInteractableException,0.012,2025-08-12T04:41:39.209574+00:00,-37.8177412,144.9670520,error
11-13 Toorak Road Melbourne VIC,False,error:ElementNotInteractableException,0.014,2025-08-12T04:41:39.223613+00:00,-37.8382457,144.9869545,error
